Data, Hum, Temp
2015-01-29_19:32:32,40,18
2015-01-29_19:33:32,41,18
2015-01-29_19:34:33,40,18
2015-01-29_19:35:33,40,18
2015-01-29_19:36:34,40,17
2015-01-29_19:37:34,40,18
2015-01-29_19:38:35,40,18
2015-01-29_19:39:35,40,18
2015-01-29_19:40:36,40,18
2015-01-29_19:41:36,40,18
2015-01-29_19:42:37,40,18
2015-01-29_19:43:37,40,18
2015-01-29_19:44:37,40,18
2015-01-29_19:45:38,40,18
2015-01-29_19:46:38,40,18
2015-01-29_19:47:39,40,18
2015-01-29_19:48:39,40,18
2015-01-29_19:49:40,40,18
2015-01-29_19:50:40,40,18
2015-01-29_19:51:41,40,18
2015-01-29_19:52:41,40,18
2015-01-29_19:53:42,40,18
2015-01-29_19:54:42,40,18
2015-01-29_19:55:43,40,18
2015-01-29_19:56:43,40,18
2015-01-29_19:57:44,40,18
2015-01-29_19:58:44,40,18
2015-01-29_19:59:44,40,18
2015-01-29_20:00:45,40,18
2015-01-29_20:01:46,40,18
2015-01-29_20:02:46,40,18
2015-01-29_20:03:47,40,18
2015-01-29_20:04:47,40,18
2015-01-29_20:05:48,40,18
2015-01-29_20:06:48,40,18
2015-01-29_20:07:48,40,18
2015-01-29_20:08:49,40,18
2015-01-29_20:09:49,40,18
2015-01-29_20:10:50,40,18
2015-01-29_20:11:50,40,18
2015-01-29_20:12:51,40,18
2015-01-29_20:13:51,40,18
2015-01-29_20:14:52,40,18
2015-01-29_20:15:52,40,18
2015-01-29_20:16:52,40,18
2015-01-29_20:17:53,40,18
2015-01-29_20:18:53,40,18
2015-01-29_20:19:54,40,18
2015-01-29_20:20:55,40,18
2015-01-29_20:21:55,40,18
2015-01-29_20:22:56,40,18
2015-01-29_20:23:56,40,18
2015-01-29_20:24:57,40,18
2015-01-29_20:25:57,40,18
2015-01-29_20:26:58,40,18
2015-01-29_20:27:58,40,18
2015-01-29_20:28:59,40,18
2015-01-29_20:29:59,40,18
2015-01-29_20:31:00,40,18
2015-01-29_20:32:00,40,18
2015-01-29_20:33:01,40,18
2015-01-29_20:34:01,40,18
2015-01-29_20:35:01,40,18
2015-01-29_20:36:02,40,18
2015-01-29_20:37:02,40,18
2015-01-29_20:38:03,40,18
2015-01-29_20:39:03,40,18
2015-01-29_20:40:04,40,18
2015-01-29_20:41:04,40,18
2015-01-29_20:42:05,40,18
2015-01-29_20:43:05,40,18
2015-01-29_20:44:06,40,18
2015-01-29_20:45:06,40,18
2015-01-29_20:46:07,40,18
2015-01-29_20:47:07,40,18
2015-01-29_20:48:08,40,18
2015-01-29_20:49:08,40,18
2015-01-29_20:50:09,40,18
2015-01-29_20:51:10,40,18
2015-01-29_20:52:11,40,18
2015-01-29_20:53:11,40,18
2015-01-29_20:54:12,40,18
2015-01-29_20:55:12,40,18
2015-01-29_20:56:13,40,18
2015-01-29_20:57:13,40,18
2015-01-29_20:58:14,40,18
2015-01-29_20:59:14,40,18
2015-01-29_21:00:15,40,18
2015-01-29_21:01:15,40,18
2015-01-29_21:02:16,40,18
2015-01-29_21:03:16,40,18
2015-01-29_21:04:16,40,18
2015-01-29_21:05:17,40,18
2015-01-29_21:06:17,40,18
2015-01-29_21:07:18,40,18
2015-01-29_21:08:19,40,18
2015-01-29_21:09:19,40,18
2015-01-29_21:10:19,40,18
2015-01-29_21:11:20,40,18
2015-01-29_21:12:20,40,18
2015-01-29_21:13:21,40,18
2015-01-29_21:14:22,40,18
2015-01-29_21:15:22,40,18
2015-01-29_21:16:23,40,18
2015-01-29_21:17:23,40,18
2015-01-29_21:18:23,40,18
2015-01-29_21:19:24,40,18
2015-01-29_21:20:24,40,18
2015-01-29_21:21:25,40,18
2015-01-29_21:22:25,40,18
2015-01-29_21:23:26,40,18
2015-01-29_21:24:26,40,18
2015-01-29_21:25:27,40,18
2015-01-29_21:26:27,40,18
2015-01-29_21:27:28,40,18
2015-01-29_21:28:28,40,18
2015-01-29_21:29:29,40,18
2015-01-29_21:30:29,40,18
2015-01-29_21:31:30,40,18
2015-01-29_21:32:30,40,18
2015-01-29_21:33:31,40,18
2015-01-29_21:34:31,40,18
2015-01-29_21:35:32,40,18
2015-01-29_21:36:32,40,18
2015-01-29_21:37:33,40,18
2015-01-29_21:38:33,40,18
2015-01-29_21:39:34,40,18
2015-01-29_21:40:34,40,18
2015-01-29_21:41:35,40,18
2015-01-29_21:42:35,40,18
2015-01-29_21:43:36,40,18
2015-01-29_21:44:36,40,18
2015-01-29_21:45:37,40,18
2015-01-29_21:46:37,40,18
2015-01-29_21:47:38,40,18
2015-01-29_21:48:39,40,18
2015-01-29_21:49:39,40,18
2015-01-29_21:50:40,40,18
2015-01-29_21:51:40,40,18
2015-01-29_21:52:40,40,18
2015-01-29_21:53:41,40,18
2015-01-29_21:54:41,40,18
2015-01-29_21:55:42,40,18
2015-01-29_21:56:42,40,18
2015-01-29_21:57:43,40,18
2015-01-29_21:58:43,40,18
2015-01-29_21:59:44,40,18
2015-01-29_22:00:44,40,18
2015-01-29_22:01:45,40,18
2015-01-29_22:02:46,40,18
2015-01-29_22:03:46,40,18
2015-01-29_22:04:47,40,18
2015-01-29_22:05:47,40,18
2015-01-29_22:06:48,40,18
2015-01-29_22:07:48,40,18
2015-01-29_22:08:49,40,18
2015-01-29_22:09:49,40,18
2015-01-29_22:10:50,40,18
2015-01-29_22:11:50,40,18
2015-01-29_22:12:51,40,18
2015-01-29_22:13:51,40,18
2015-01-29_22:14:52,40,18
2015-01-29_22:15:52,40,18
2015-01-29_22:16:53,40,18
2015-01-29_22:17:53,40,18
2015-01-29_22:18:54,40,18
2015-01-29_22:19:56,40,18
2015-01-29_22:20:24,40,18
2015-01-29_22:30:24,40,18
2015-01-29_22:40:25,40,18
2015-01-29_22:50:25,40,18
2015-01-29_23:00:26,40,18
2015-01-29_23:10:26,40,18
2015-01-29_23:20:27,40,18
2015-01-29_23:30:27,40,18
2015-01-29_23:40:28,40,18
2015-01-29_23:50:28,40,18
2015-01-30_00:00:29,40,18
2015-01-30_00:10:29,40,18
2015-01-30_00:20:30,40,18
2015-01-30_00:30:30,40,18
2015-01-30_00:40:31,40,18
2015-01-30_00:50:32,40,18
2015-01-30_01:00:32,40,18
2015-01-30_01:10:33,40,18
2015-01-30_01:20:33,40,18
2015-01-30_01:30:34,40,18
2015-01-30_01:40:34,40,18
2015-01-30_01:50:35,40,18
2015-01-30_02:00:35,40,18
2015-01-30_02:10:36,40,17
2015-01-30_02:20:36,39,17
2015-01-30_02:30:37,40,17
2015-01-30_02:40:37,40,17
2015-01-30_02:50:38,40,17
2015-01-30_03:00:38,40,17
2015-01-30_03:10:39,39,17
2015-01-30_03:20:40,40,17
2015-01-30_03:30:40,40,17
2015-01-30_03:40:41,40,17
2015-01-30_03:50:41,39,17
2015-01-30_04:00:42,39,17
2015-01-30_04:10:42,39,17
2015-01-30_04:20:43,40,17
2015-01-30_04:30:43,39,17
2015-01-30_04:40:44,39,17
2015-01-30_04:50:45,39,17
2015-01-30_05:00:46,39,17
2015-01-30_05:10:46,39,17
2015-01-30_05:20:47,39,17
2015-01-30_05:30:47,39,17
2015-01-30_05:40:48,39,17
2015-01-30_05:50:48,40,17
2015-01-30_06:00:49,39,17
2015-01-30_06:10:49,39,17
2015-01-30_06:20:50,39,17
2015-01-30_06:30:50,40,17
2015-01-30_06:40:51,40,17
2015-01-30_06:50:52,39,17
2015-01-30_07:00:52,40,17
2015-01-30_07:10:53,40,17
2015-01-30_07:20:53,39,17
2015-01-30_07:30:54,40,18
2015-01-30_07:40:54,40,18
2015-01-30_07:50:55,39,18
2015-01-30_08:00:55,39,18
2015-01-30_08:10:56,40,18
2015-01-30_08:20:56,39,18
2015-01-30_08:30:57,39,18
2015-01-30_08:40:57,39,18
2015-01-30_08:50:58,40,18
2015-01-30_09:00:58,40,18
2015-01-30_09:10:59,39,18
2015-01-30_09:20:59,40,18
2015-01-30_09:31:00,39,18
2015-01-30_09:41:00,39,18
2015-01-30_09:51:01,39,18
2015-01-30_10:01:02,39,18
2015-01-30_10:11:02,39,18
2015-01-30_10:21:02,39,18
2015-01-30_10:31:03,39,18
2015-01-30_10:41:04,39,18
2015-01-30_10:51:04,39,18
2015-01-30_11:01:05,40,18
2015-01-30_11:11:05,39,18
2015-01-30_11:21:06,39,18
2015-01-30_11:31:06,39,18
2015-01-30_11:41:07,39,18
2015-01-30_11:51:07,39,18
2015-01-30_12:01:08,39,18
2015-01-30_12:11:09,39,18
2015-01-30_12:21:09,39,18
2015-01-30_12:31:10,39,18
2015-01-30_12:41:10,39,18
2015-01-30_12:51:11,39,18
2015-01-30_13:01:11,39,18
2015-01-30_13:11:12,39,18
2015-01-30_13:21:12,39,18
2015-01-30_13:31:13,39,18
2015-01-30_13:41:13,39,18
2015-01-30_13:51:14,39,18
2015-01-30_14:01:14,39,18
2015-01-30_14:11:15,39,18
2015-01-30_14:21:15,39,18
2015-01-30_14:31:16,39,18
2015-01-30_14:41:16,39,18
2015-01-30_14:51:17,39,18
2015-01-30_15:01:17,39,18
2015-01-30_15:11:18,39,18
2015-01-30_15:21:19,39,18
2015-01-30_15:31:19,39,18
2015-01-30_15:41:20,39,18
2015-01-30_15:51:20,38,18
2015-01-30_16:01:21,38,18
2015-01-30_16:11:21,38,18
2015-01-30_16:21:22,38,18
2015-01-30_16:31:22,38,18
2015-01-30_16:41:23,39,18
2015-01-30_16:51:23,38,18
2015-01-30_17:01:24,38,18
2015-01-30_17:11:24,39,18
2015-01-30_17:21:25,39,18
2015-01-30_17:31:25,39,18
2015-01-30_17:41:26,39,18
2015-01-30_17:51:26,39,18
2015-01-30_18:01:27,39,18
2015-01-30_18:11:28,39,18
2015-01-30_18:21:28,39,18
2015-01-30_18:31:29,39,18
2015-01-30_18:41:29,40,18
